









Frequency of observations in the selected location(s).:
Number of taxa: 	532

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Eurasian/American Wigeon	6.607E-4	4.223E-4	9.515E-4	0.0010239	4.975E-4	0.0	0.0013831	0.0	0.0	0.0	8.33E-4	2.878E-4	0.0	3.717E-4	0.0	3.14E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.032E-4	0.0	0.0	3.404E-4	4.092E-4	4.411E-4	4.693E-4	9.798E-4	5.02E-4	4.737E-4	0.0	0.0	5.408E-4	0.0	0.0	3.591E-4	
Mallard	0.3610836	0.3847128	0.3634634	0.3771331	0.3935323	0.3625159	0.3253804	0.3999006	0.4376731	0.4347195	0.4273219	0.4270504	0.4380841	0.4431227	0.4000788	0.3974882	0.3702613	0.3571994	0.3358779	0.2870178	0.2530684	0.2182941	0.1819299	0.1885454	0.2042378	0.1983122	0.1893148	0.2263033	0.2577124	0.2822118	0.2909343	0.3097345	0.3024194	0.3183196	0.2862302	0.2835262	0.2851882	0.3365682	0.3411544	0.3536904	0.3614458	0.353387	0.3587351	0.365041	0.3439697	0.3645272	0.3479252	0.3213645	
Mallard (Domestic type)	0.0019822	0.0038007	0.0019029	0.0020478	0.0049751	0.0050999	0.0020747	0.0029806	0.0041551	0.0053191	0.0020825	0.0034532	0.001947	0.0022305	0.0015767	0.0028257	0.0025764	0.002769	9.542E-4	0.0016591	0.0046756	0.003367	0.0018439	0.0050684	0.0029429	0.0066305	0.0058072	0.0059242	0.002373	0.0093897	0.0027752	0.0024413	0.003629	0.0030316	0.0054176	0.0061266	0.00491	0.0022056	0.0028156	0.0062051	0.0060241	0.0047371	0.0010368	0.0111057	0.0048675	0.0044096	0.001368	0.0039497	
Muscovy Duck x Mallard (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.411E-4	4.693E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Shoveler x Mallard (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Gadwall x Mallard (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.836E-4	0.0	2.878E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.266E-4	5.02E-4	0.0	0.0015	0.0015	5.408E-4	4.9E-4	0.0	0.0015	
American Black Duck	0.0075983	0.0067568	0.0066603	0.0027304	0.00199	0.0021249	6.916E-4	0.0019871	0.0027701	0.0033849	0.0012495	0.0025899	7.788E-4	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0015	0.0	0.0015	0.0	0.0015	9.385E-4	6.532E-4	0.00251	9.474E-4	0.0010368	0.0019314	0.0021633	0.0034297	0.001824	0.0032316	
Northern Pintail	0.0792864	0.0785473	0.0880114	0.0825939	0.0671642	0.0641734	0.063278	0.0591157	0.0775623	0.0585106	0.0716368	0.0664748	0.0654206	0.0550186	0.0547891	0.0596546	0.0412219	0.0221519	0.0100191	0.0015	0.0	5.612E-4	0.0079902	0.0035479	0.0029429	0.0012055	0.0015	0.0019747	9.492E-4	0.0119979	0.0272895	0.0634727	0.0790323	0.059333	0.0740406	0.0793057	0.0716039	0.0943979	0.0924449	0.1018942	0.0853414	0.0786357	0.0730949	0.0651859	0.0589508	0.066634	0.0674875	0.0689408	
Mallard x Northern Pintail (hybrid)	9.911E-4	4.223E-4	0.0	0.0	0.0	0.0015	3.458E-4	4.968E-4	0.0015	0.0	4.165E-4	5.755E-4	3.894E-4	0.0	0.0	3.14E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0	0.0015	0.0	0.0	3.591E-4	
Green-winged Teal	0.0670631	0.0755912	0.0732636	0.0836177	0.0905473	0.0985975	0.0726141	0.1142573	0.1084949	0.0918762	0.118284	0.1001439	0.1055296	0.1211896	0.1300749	0.1510204	0.0938535	0.0486551	0.023855	0.0120282	0.0035067	5.612E-4	6.146E-4	0.0010137	0.0011772	0.0012055	0.0046458	7.899E-4	0.0075937	0.0219092	0.0434783	0.0857492	0.0967742	0.1152014	0.1187359	0.115725	0.1329787	0.1539479	0.1313937	0.1463096	0.1194779	0.0890573	0.1083463	0.0806374	0.0789616	0.0842724	0.0861833	0.064632	
teal sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.216E-4	0.0	6.103E-4	0.0	0.0015	0.0015	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
dabbling duck sp.	0.0019822	8.446E-4	0.0014272	3.413E-4	9.95E-4	0.001275	0.0	4.968E-4	4.617E-4	9.671E-4	0.001666	5.755E-4	7.788E-4	7.435E-4	3.942E-4	9.419E-4	7.361E-4	0.0015823	0.0	4.148E-4	0.0	0.0011223	6.146E-4	5.068E-4	5.886E-4	6.028E-4	5.807E-4	3.949E-4	0.0	0.0010433	4.625E-4	0.0012206	0.0032258	0.0025985	0.0018059	0.0020422	0.00491	0.0088222	0.0028156	0.0029393	0.001004	0.0014211	0.0015552	9.657E-4	0.0016225	0.0014699	0.001368	0.0010772	
Canvasback	0.0145358	0.0215372	0.0190295	0.0163823	0.020398	0.0144496	0.0107192	0.0163934	0.0129271	0.0116054	0.0095793	0.0071942	0.0077882	0.0037175	0.0027592	6.279E-4	0.0011042	3.956E-4	0.004771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.625E-4	0.0	0.0	0.0	4.515E-4	0.0013615	0.0028642	0.0105867	0.0122008	0.0326584	0.0205823	0.0170535	0.0186625	0.0207629	0.0178475	0.0068594	0.0068399	0.0096948	
Redhead	0.0013214	0.0097128	0.0114177	0.0037543	0.0029851	0.0025499	0.0027663	0.0049677	9.234E-4	9.671E-4	0.0012495	0.0028777	0.0015	3.717E-4	3.942E-4	0.0	0.0	0.0023734	0.0	0.0	0.0	5.612E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0012275	0.0048522	0.0018771	0.0137165	0.0120482	0.0075793	0.0020736	0.0043457	0.0010817	9.799E-4	4.56E-4	0.0021544	
Ring-necked Duck	0.1136439	0.1258446	0.1260704	0.1307167	0.1363184	0.1160221	0.0950899	0.1415797	0.1334257	0.1363636	0.1341108	0.1122302	0.1074766	0.1052045	0.0945999	0.0803768	0.0434303	0.0205696	0.0062023	0.0033181	0.0011689	5.612E-4	6.146E-4	0.0	5.886E-4	0.0012055	0.0029036	0.0011848	0.0014238	0.0	0.0015	0.0033567	0.0044355	0.0069294	0.0126411	0.0183799	0.042144	0.0520512	0.0530267	0.064337	0.0707831	0.0805306	0.099015	0.1139546	0.1168199	0.1092602	0.1108071	0.1095153	
Tufted Duck	3.304E-4	0.0	0.0015	3.413E-4	0.0129353	0.001275	0.0020747	0.0024839	0.0036934	0.0029014	0.0012495	2.878E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010368	0.0	0.0	0.0	0.0	0.0015	
Greater Scaup	0.0290717	0.0337838	0.02902	0.0372014	0.0333333	0.0314492	0.0245505	0.0243418	0.0235457	0.0193424	0.0258226	0.0178417	0.0147975	0.0118959	0.0126133	0.0091052	0.0080972	0.0035601	0.0038168	0.0024886	5.845E-4	0.0011223	0.0012293	0.0015	0.0011772	6.028E-4	5.807E-4	3.949E-4	0.0018984	0.0015649	0.0013876	3.052E-4	4.032E-4	0.0025985	0.0027088	0.0095303	0.0130933	0.0176445	0.0150164	0.021228	0.0291165	0.0317385	0.0212545	0.034283	0.0151433	0.0254777	0.0237118	0.0265709	
Lesser Scaup	0.0621077	0.0701014	0.0666032	0.0771331	0.0925373	0.0849979	0.0629322	0.0750124	0.0771006	0.0541586	0.0524781	0.0515108	0.0385514	0.030855	0.0232558	0.0279435	0.0195068	0.008307	0.0066794	0.0015	0.0015	0.0	6.146E-4	0.0	0.0	6.028E-4	0.0015	0.0	4.746E-4	5.216E-4	0.0	3.052E-4	0.0	0.0017324	0.0049661	0.003744	0.0114566	0.0211734	0.0192398	0.0271065	0.0245984	0.0322122	0.0331778	0.034283	0.0346133	0.0401764	0.0373917	0.043447	
