








Frequency of observations in the selected location(s).:
Number of taxa: 	421

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	631.0	421.0	429.0	535.0	410.0	469.0	783.0	413.0	484.0	429.0	575.0	840.0	624.0	656.0	543.0	791.0	638.0	657.0	546.0	600.0	455.0	401.0	398.0	415.0	387.0	422.0	431.0	549.0	451.0	411.0	462.0	716.0	579.0	495.0	480.0	633.0	549.0	423.0	367.0	613.0	325.0	378.0	303.0	379.0	278.0	287.0	341.0	463.0	

dabbling duck sp.	0.0	0.0023752969121140144	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001524390243902439	0.0	0.0012642225031605564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002320185614849188	0.0	0.0	0.0	0.0	0.0013966480446927375	0.0034542314335060447	0.00404040404040404	0.0020833333333333333	0.004739336492890996	0.0036429872495446266	0.009456264775413711	0.005449591280653951	0.0	0.0	0.0	0.0033003300330033004	0.0	0.0035971223021582736	0.0	0.0	0.0	
Canvasback	0.009508716323296355	0.021377672209026127	0.02564102564102564	0.026168224299065422	0.01707317073170732	0.01279317697228145	0.01277139208173691	0.012106537530266344	0.004132231404958678	0.0	0.0015	0.004761904761904762	0.004807692307692308	0.003048780487804878	0.0	0.0025284450063211127	0.0015	0.0015220700152207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020833333333333333	0.001579778830963665	0.0018214936247723133	0.002364066193853428	0.021798365122615803	0.01631321370309951	0.018461538461538463	0.023809523809523808	0.033003300330033	0.026385224274406333	0.025179856115107913	0.006968641114982578	0.002932551319648094	0.004319654427645789	
Redhead	0.001584786053882726	0.0023752969121140144	0.0	0.005607476635514018	0.0	0.0021321961620469083	0.0038314176245210726	0.002421307506053269	0.0	0.0	0.0017391304347826088	0.0	0.0	0.0	0.0	0.0	0.0	0.0076103500761035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018214936247723133	0.002364066193853428	0.005449591280653951	0.0	0.0015	0.013227513227513227	0.009900990099009901	0.0158311345646438	0.0015	0.0	0.002932551319648094	0.0021598272138228943	
Ring-necked Duck	0.14580031695721077	0.1543942992874109	0.1561771561771562	0.17570093457943925	0.2	0.17057569296375266	0.12899106002554278	0.2009685230024213	0.20867768595041322	0.17016317016317017	0.19478260869565217	0.1630952380952381	0.1891025641025641	0.17378048780487804	0.16206261510128914	0.10493046776232617	0.06269592476489028	0.0502283105022831	0.007326007326007326	0.006666666666666667	0.002197802197802198	0.0024937655860349127	0.0	0.0	0.0015	0.002369668246445498	0.0	0.0018214936247723133	0.0022172949002217295	0.0	0.0015	0.0013966480446927375	0.0034542314335060447	0.014141414141414142	0.010416666666666666	0.02843601895734597	0.0546448087431694	0.06619385342789598	0.04904632152588556	0.06525285481239804	0.09538461538461539	0.09523809523809523	0.12871287128712872	0.17150395778364116	0.2302158273381295	0.18466898954703834	0.17888563049853373	0.20734341252699784	
Tufted Duck	0.0	0.0	0.0015	0.0	0.014634146341463415	0.0	0.0	0.0	0.004132231404958678	0.002331002331002331	0.0017391304347826088	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater Scaup	0.03169572107765452	0.030878859857482184	0.02564102564102564	0.03551401869158879	0.024390243902439025	0.03411513859275053	0.020434227330779056	0.026634382566585957	0.022727272727272728	0.018648018648018648	0.029565217391304348	0.02261904761904762	0.020833333333333332	0.021341463414634148	0.01841620626151013	0.012642225031605562	0.006269592476489028	0.0045662100456621	0.01098901098901099	0.0016666666666666668	0.0	0.0	0.002512562814070352	0.0015	0.0	0.0	0.0	0.0	0.004434589800443459	0.0024330900243309003	0.0	0.0	0.0	0.0	0.0020833333333333333	0.007898894154818325	0.023679417122040074	0.018912529550827423	0.01634877384196185	0.011419249592169658	0.027692307692307693	0.03439153439153439	0.006600660066006601	0.052770448548812667	0.017985611510791366	0.020905923344947737	0.0469208211143695	0.04967602591792657	
Lesser Scaup	0.06339144215530904	0.0688836104513064	0.07925407925407925	0.09719626168224299	0.15121951219512195	0.11513859275053305	0.06768837803320563	0.1162227602905569	0.1012396694214876	0.055944055944055944	0.07130434782608695	0.05476190476190476	0.046474358974358976	0.03201219512195122	0.020257826887661142	0.029077117572692796	0.014106583072100314	0.0167427701674277	0.01098901098901099	0.0015	0.0	0.0	0.0	0.0	0.0	0.002369668246445498	0.0	0.0	0.0022172949002217295	0.0024330900243309003	0.0	0.0	0.0	0.0	0.010416666666666666	0.00315955766192733	0.01639344262295082	0.02127659574468085	0.02997275204359673	0.03099510603588907	0.024615384615384615	0.042328042328042326	0.0429042904290429	0.05013192612137203	0.050359712230215826	0.07317073170731707	0.05278592375366569	0.0734341252699784	
Greater/Lesser Scaup	0.003169572107765452	0.004750593824228029	0.013986013986013986	0.007476635514018692	0.012195121951219513	0.008528784648187633	0.010217113665389528	0.009685230024213076	0.002066115702479339	0.004662004662004662	0.0052173913043478265	0.009523809523809525	0.009615384615384616	0.006097560975609756	0.003683241252302026	0.008849557522123894	0.004702194357366771	0.0015220700152207	0.005494505494505495	0.0033333333333333335	0.0	0.0	0.0	0.0	0.002583979328165375	0.0	0.0	0.0	0.004434589800443459	0.0024330900243309003	0.0	0.0013966480446927375	0.0	0.0	0.004166666666666667	0.0	0.009107468123861567	0.004728132387706856	0.0027247956403269754	0.008156606851549755	0.003076923076923077	0.010582010582010581	0.009900990099009901	0.0015	0.007194244604316547	0.003484320557491289	0.002932551319648094	0.0021598272138228943	
King Eider	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Harlequin Duck	0.13153724247226625	0.1163895486935867	0.11888111888111888	0.11401869158878504	0.11463414634146342	0.14925373134328357	0.0970625798212005	0.10411622276029056	0.10743801652892562	0.13053613053613053	0.12521739130434784	0.11785714285714285	0.1362179487179487	0.15853658536585366	0.1141804788213628	0.10745891276864729	0.08150470219435736	0.0684931506849315	0.06227106227106227	0.041666666666666664	0.017582417582417582	0.03740648379052369	0.020100502512562814	0.02650602409638554	0.03875968992248062	0.06398104265402843	0.030162412993039442	0.03460837887067395	0.03991130820399113	0.0705596107055961	0.06926406926406926	0.0893854748603352	0.10189982728842832	0.14343434343434344	0.1125	0.12796208530805686	0.14571948998178508	0.20094562647754138	0.22615803814713897	0.24143556280587275	0.21846153846153846	0.23809523809523808	0.16831683168316833	0.1741424802110818	0.14388489208633093	0.16376306620209058	0.11730205278592376	0.1511879049676026	
